Sample,Age_X,Age_X_95plus,Age_X_95minus,Age_Y,Age_Y_95plus,Age_Y_95minus,Age_Z,Age_Z_95plus,Age_Z_95minus
RBCT,65.61987198724374,0.1471451935517223,0.24693753215193226,65.61986112018033,0.14859790056060262,0.24724093940784542,65.61988438628528,0.16605499614885844,0.2543732262851677
RBCU,65.7661947754039,0.05770515259658282,0.07021976831418897,65.76618389993402,0.061060317946584064,0.0726321666125358,65.76620719130887,0.09372156731258485,0.09922945969115915
RBCV,65.40230518854149,0.059980221699660774,0.07230431796041614,65.4022943723032,0.06323034983307707,0.07487248532653723,65.40231754502517,0.095068957461379,0.10092210603207263
RBCZ,65.91085652746425,0.09816905988057556,0.16017228061772926,65.9108456252773,0.10131255917400495,0.16108798912456734,65.91086898458369,0.12982795565376648,0.17372134530427275
RBCY,65.51396283593581,0.11338920598736024,0.1627135446268113,65.51395200216339,0.11530131082314199,0.16334242421915235,65.51397527237849,0.13585972663837254,0.17520501839523206
RBCW,65.6968724724688,0.1125854241128934,0.16326220643554734,65.6968616070752,0.11487149209835934,0.16414497303364328,65.69688485207932,0.13803342980972388,0.1765990806098756
RBFS,65.67892894213884,0.23600202014522154,0.3658571800430792,65.67891805274633,0.23742995012661083,0.36697356817852267,65.67894123273987,0.2527369455700068,0.3726550585710413
RBFT,65.7958908293509,0.21525333521033474,0.34658990915126253,65.79587995338454,0.21703796175469847,0.34722302576460606,65.79590322499598,0.23623329125223336,0.35359428393272196
RBEC,66.22889699138295,0.3844705674119382,0.5155603845822583,66.22888603623984,0.38510395877055714,0.5154622731955243,66.22890942711793,0.39066523390366115,0.5189837399129402
RBFR,65.80937135999562,0.09419345767254583,0.1421155494676043,65.80936047327644,0.09607473169450031,0.14290138139358532,65.80938374875764,0.11873249851765877,0.15601825715754103
RBEB,66.14311307114009,0.03272354947530687,0.046540967812546796,66.14310213387084,0.03807905781866339,0.0499718005391685,66.14312557775304,0.08020777442914095,0.08421576824227373
RBFQ,66.31397943586086,0.2310526723373698,0.276770437975685,66.31396847759598,0.23163040405719926,0.2772303384296748,66.31399201493812,0.24041755317482227,0.2848204130225014
