Sample,AgeSummary,WeightedMeanAge,Uncertainty_2σ,MSWD,N
RBCT,65.744 ± 0.076,65.74445324517188,0.07600096582845284,1.508888627387764,2
RBCU,65.766 ± 0.0549,65.76620394562177,0.05492252841791537,0.05746678425838057,4
RBCV,65.395 ± 0.0554,65.39520853728321,0.05541884900704411,0.41651424892354355,4
RBCZ,65.883 ± 0.1043,65.88316971060544,0.10427680149585188,0.02362062716935276,3
RBCY,65.561 ± 0.0864,65.56082011997981,0.08643097358801802,0.04478966287622653,3
RBCW,65.631 ± 0.1194,65.6306950664226,0.11942371786275784,0.017014513607469608,4
RBFS,65.611 ± 0.2094,65.61127540721034,0.20938472174040862,0.735351132952155,2
RBFT,65.981 ± 0.0561,65.98126920271444,0.05614517981812572,3.178597059540353,2
RBEC,MDA,0,0,0,1
RBFR,65.842 ± 0.1435,65.84210006721213,0.14345217447247002,0.1084657009373724,2
RBEB,66.155 ± 0.0417,66.1547152310346,0.04174897688965794,0.18876786566159695,4
RBFQ,MDA,0,0,0,1
