Sample,AgeSummary,Age,Uncertainty_2σ
RBCT,65.637 ± 0.1911,65.63677754,0.191079835
RBCU,65.733 ± 0.2527,65.73298494,0.252683316
RBCV,65.342 ± 0.1215,65.34207883,0.121514056
RBCZ,65.863 ± 0.2103,65.86332024,0.210321264
RBCY,65.518 ± 0.406,65.5175223,0.406039312
RBCW,65.607 ± 0.3481,65.60696757,0.348102281
RBFS,65.43 ± 0.4719,65.4299421,0.471916213
RBFT,65.7 ± 0.32,65.70040834,0.320030864
RBEC,66.264 ± 0.4237,66.26362329,0.423699131
RBFR,65.83 ± 0.1612,65.83000568,0.161160879
RBEB,66.144 ± 0.0543,66.1441318,0.054322277
RBFQ,66.328 ± 0.2356,66.32816722,0.235625081
