Sample,normalizationconstant,location,scl,shp,skew
RBCT,1.0377324107330312,65.64574976029543,0.031852840236464425,0.29876203010746943,0.4532199850046542
RBCU,1.1197450049315298,65.75562404146858,0.06159442662769729,2.0760726362614146,0.39253049113991567
RBCV,2.040368187155062,65.35470125360507,0.04194508814361199,1.1542392131962618,0.6741254093623366
RBCZ,-29.13022963564701,66.13475102340561,0.07425332809115294,9.678226372528242,0.09018808486848216
RBCY,0.9258622600297997,65.54162368215418,0.06391395066113044,0.9360310603944711,0.39309692253015377
RBCW,0.8922719636356782,65.63869474791585,0.10661463174979778,1.9294207239828736,0.4608057988997493
RBFS,0.744723354414212,65.49769866436198,0.2684127130610166,2.1681905838781845,1.0302319458059859
RBFT,1.2316647167141728,65.70850605618413,0.020544807947004026,0.15394337706985356,0.9640135004452797
RBEC,0.8990207942027881,66.28178070161032,0.04623687735906758,0.2909292827235508,0.672034792292363
RBFR,2.2261654655552974,65.83893554365022,0.011291865756723316,0.27676211966601016,0.6198372305872839
RBEB,3.091240100973093,66.15401535580784,0.006554666866216167,0.4332679944952952,0.5745414830549107
RBFQ,1.6802009032204128,66.33514461959903,0.0011438396120905855,0.012964034326063455,0.7369435476825025
