Sample,Age summary,Age,2.5% CI,97.5% CI,sigma
DEC13-30,66.2903 +0.0338/-0.0412,66.29029413318274,66.24906193184265,66.32414246139466,0.018816631936849324
RBAB,66.332 +0.0688/-0.117,66.33237451238779,66.21579270511069,66.40116303687549,0.0519765055195369
RBAG,66.132 +0.0857/-0.142,66.13151157631947,65.98904829716119,66.2172358155083,0.05669781312426116
RBBQ,66.312 +0.17/-0.225,66.31165081147738,66.086232262577,66.48186843072212,0.10784938402757159
RBBL,66.2097 +0.0519/-0.0873,66.20966231271596,66.12239832204608,66.26158393439253,0.036111265527557654
RBBI,66.072 +0.0211/-0.0276,66.07201392723897,66.04444041636107,66.09313180956462,0.01235609794030983
RBBM,66.088 +0.0767/-0.146,66.08805815421674,65.94168652222486,66.16478389878843,0.05709102567048744
RBBR,66.0161 +0.0422/-0.055,66.01608334468844,65.96105781256247,66.05827960691906,0.024690318646250903
RBBJ,66.0274 +0.0449/-0.0975,66.02735061573459,65.92982830085211,66.07221156310187,0.0421253019922001
RBBS,66.0586 +0.0477/-0.0487,66.05864236537448,66.00994614931209,66.10635230283313,0.02545203803764677
RBAW,66.0795 +0.0633/-0.262,66.0794538731538,65.81784762760884,66.14271712420025,0.08075189652657981
RBX,66.0549 +0.0228/-0.0274,66.05491618680472,66.02755869078334,66.07774364798192,0.012837761100030742
RBBH,65.9029 +0.0208/-0.0212,65.90290677205074,65.88167342197681,65.92375125341067,0.010755138823420858
RBBF,65.9832 +0.0332/-0.0565,65.98323634004902,65.92672759563446,66.01647936833922,0.022704778869401383
RBB2,65.9286 +0.0307/-0.0471,65.92864463763493,65.88149875106953,65.95930309945659,0.020211444839851624
RBAY,65.8429 +0.042/-0.0765,65.8428581520008,65.76632433458832,65.88489304765989,0.028962522624431237
RBAO,65.9024 +0.0567/-0.0678,65.90242631327219,65.83459303540337,65.95914199778295,0.03120865065575834
RBAN,65.817 +0.0711/-0.105,65.81650598349015,65.71194453344906,65.88762745192882,0.04604181194898057
RBP,65.851 +0.158/-0.217,65.85067480789242,65.63409724137496,66.00887687927202,0.09627512652504913
RBO,65.8827 +0.0311/-0.0495,65.88265488273986,65.83310688853702,65.91372969868962,0.022877471858890417
RBE,65.5684 +0.0568/-0.0809,65.56844398373002,65.48755324627278,65.62526295446155,0.035866514054971835
RBF,65.6229 +0.0384/-0.0513,65.62289873837648,65.57155659465722,65.66126204185645,0.02400578451210646
DEC13-08,65.6097 +0.012/-0.0131,65.60969652570017,65.59662098958312,65.6217426281946,0.006970306005810642
RBG,65.5963 +0.0302/-0.0281,65.59632271005671,65.56825697166505,65.62656003377371,0.015077591559644738
